Country_Name,Country Code,Region,Income_Group
Lesotho,LSO,África al sur del Sahara (excluido altos ingresos),Países de ingreso mediano bajo
avanzada del dividendo demográfico,LTE,Sin Dato,Agregados
Lituania,LTU,Sin Dato,Ingreso alto
Luxemburgo,LUX,Sin Dato,Ingreso alto
Letonia,LVA,Sin Dato,Ingreso alto
Región Administrativa Especial de Macao. China,MAC,Sin Dato,Ingreso alto
Isla de San Martín (parte francesa),MAF,Sin Dato,Ingreso alto
Marruecos,MAR,Oriente Medio y Norte de África (excluido altos ingresos),Países de ingreso mediano bajo
Mónaco,MCO,Sin Dato,Ingreso alto
República de Moldova,MDA,Europa y Asia central (excluido altos ingresos),Ingreso mediano alto
Madagascar,MDG,África al sur del Sahara (excluido altos ingresos),Países de ingreso bajo
Maldivas,MDV,Asia meridional,Ingreso mediano alto
Oriente Medio y Norte de África,MEA,Sin Dato,Agregados
México,MEX,América Latina y el Caribe (excluido altos ingresos),Ingreso mediano alto
Islas Marshall,MHL,Asia oriental y el Pacífico (excluido altos ingresos),Ingreso mediano alto
 Ingreso mediano,MIC,Sin Dato,Agregados
Macedonia del Norte,MKD,Europa y Asia central (excluido altos ingresos),Ingreso mediano alto
Malí,MLI,África al sur del Sahara (excluido altos ingresos),Países de ingreso bajo
Malta,MLT,Sin Dato,Ingreso alto
Myanmar,MMR,Asia oriental y el Pacífico (excluido altos ingresos),Países de ingreso mediano bajo
Oriente Medio y Norte de África (excluido altos ingresos),MNA,Sin Dato,Agregados
Montenegro,MNE,Europa y Asia central (excluido altos ingresos),Ingreso mediano alto
Mongolia,MNG,Asia oriental y el Pacífico (excluido altos ingresos),Países de ingreso mediano bajo
Mariana,MNP,Sin Dato,Ingreso alto
Mozambique,MOZ,África al sur del Sahara (excluido altos ingresos),Países de ingreso bajo
Mauritania,MRT,África al sur del Sahara (excluido altos ingresos),Países de ingreso mediano bajo
Mauricio,MUS,África al sur del Sahara (excluido altos ingresos),Ingreso mediano alto
Malawi,MWI,África al sur del Sahara (excluido altos ingresos),Países de ingreso bajo
Malasia,MYS,Asia oriental y el Pacífico (excluido altos ingresos),Ingreso mediano alto
América del Norte,NAC,Sin Dato,Agregados
Namibia,NAM,África al sur del Sahara (excluido altos ingresos),Ingreso mediano alto
Nueva Caledonia,NCL,Sin Dato,Ingreso alto
Níger,NER,África al sur del Sahara (excluido altos ingresos),Países de ingreso bajo
Nigeria,NGA,África al sur del Sahara (excluido altos ingresos),Países de ingreso mediano bajo
Nicaragua,NIC,América Latina y el Caribe (excluido altos ingresos),Países de ingreso mediano bajo
Países Bajos,NLD,Sin Dato,Ingreso alto
Noruega,NOR,Sin Dato,Ingreso alto
Nepal,NPL,Asia meridional,Países de ingreso mediano bajo
Nauru,NRU,Sin Dato,Ingreso alto
Nueva Zelandia,NZL,Sin Dato,Ingreso alto
Miembros OCDE,OED,Sin Dato,Agregados
Omán,OMN,Sin Dato,Ingreso alto
Otros Estados pequeos,OSS,Sin Dato,Agregados
Pakistán,PAK,Asia meridional,Países de ingreso mediano bajo
Panamá,PAN,Sin Dato,Ingreso alto
Perú,PER,América Latina y el Caribe (excluido altos ingresos),Ingreso mediano alto
Filipinas,PHL,Asia oriental y el Pacífico (excluido altos ingresos),Países de ingreso mediano bajo
Palau,PLW,Asia oriental y el Pacífico (excluido altos ingresos),Ingreso mediano alto
Papua Nueva Guinea,PNG,Asia oriental y el Pacífico (excluido altos ingresos),Países de ingreso mediano bajo
Polonia,POL,Sin Dato,Ingreso alto
previa al dividendo demográfico,PRE,Sin Dato,Agregados
Puerto Rico,PRI,Sin Dato,Ingreso alto
Corea. República Popular Democrática de,PRK,Asia oriental y el Pacífico (excluido altos ingresos),Países de ingreso bajo
Portugal,PRT,Sin Dato,Ingreso alto
Paraguay,PRY,América Latina y el Caribe (excluido altos ingresos),Ingreso mediano alto
Ribera Occidental y Gaza,PSE,Oriente Medio y Norte de África (excluido altos ingresos),Países de ingreso mediano bajo
Estados pequeos de las Islas del Pacfico,PSS,Sin Dato,Agregados
posterior al dividendo demográfico,PST,Sin Dato,Agregados
Polinesia Francesa,PYF,Sin Dato,Ingreso alto
Qatar,QAT,Sin Dato,Ingreso alto
Rumania,ROU,Sin Dato,Ingreso alto
Federación de Rusia,RUS,Europa y Asia central (excluido altos ingresos),Ingreso mediano alto
Rwanda,RWA,África al sur del Sahara (excluido altos ingresos),Países de ingreso bajo
Asia meridional,SAS,Sin Dato,Agregados
Arabia Saudita,SAU,Sin Dato,Ingreso alto
Sudán,SDN,África al sur del Sahara (excluido altos ingresos),Países de ingreso bajo
Senegal,SEN,África al sur del Sahara (excluido altos ingresos),Países de ingreso mediano bajo
Singapur,SGP,Sin Dato,Ingreso alto
Islas Salomón,SLB,Asia oriental y el Pacífico (excluido altos ingresos),Países de ingreso mediano bajo
Sierra Leona,SLE,África al sur del Sahara (excluido altos ingresos),Países de ingreso bajo
El Salvador,SLV,América Latina y el Caribe (excluido altos ingresos),Países de ingreso mediano bajo
San Marino,SMR,Sin Dato,Ingreso alto
Somalia,SOM,África al sur del Sahara (excluido altos ingresos),Países de ingreso bajo
Serbia,SRB,Europa y Asia central (excluido altos ingresos),Ingreso mediano alto
África al sur del Sahara (excluido altos ingresos),SSA,Sin Dato,Agregados
Sudán del Sur,SSD,África al sur del Sahara (excluido altos ingresos),Países de ingreso bajo
África al sur del Sahara,SSF,Sin Dato,Agregados
Pequeños Estados,SST,Sin Dato,Agregados
Santo Tomé y Príncipe,STP,África al sur del Sahara (excluido altos ingresos),Países de ingreso mediano bajo
Suriname,SUR,América Latina y el Caribe (excluido altos ingresos),Ingreso mediano alto
República Eslovaca,SVK,Sin Dato,Ingreso alto
Eslovenia,SVN,Sin Dato,Ingreso alto
Suecia,SWE,Sin Dato,Ingreso alto
Eswatini,SWZ,África al sur del Sahara (excluido altos ingresos),Países de ingreso mediano bajo
Sint Maarten (Dutch part),SXM,Sin Dato,Ingreso alto
Seychelles,SYC,Sin Dato,Ingreso alto
República Árabe Siria,SYR,Oriente Medio y Norte de África (excluido altos ingresos),Países de ingreso bajo
Islas Turcas y Caicos,TCA,Sin Dato,Ingreso alto
Chad,TCD,África al sur del Sahara (excluido altos ingresos),Países de ingreso bajo
Asia oriental y el Pacífico (BIRF y la AIF),TEA,Sin Dato,Agregados
Europa y Asia central (BIRF y la AIF),TEC,Sin Dato,Agregados
Togo,TGO,África al sur del Sahara (excluido altos ingresos),Países de ingreso bajo
Tailandia,THA,Asia oriental y el Pacífico (excluido altos ingresos),Ingreso mediano alto
Tayikistán,TJK,Europa y Asia central (excluido altos ingresos),Países de ingreso mediano bajo
Turkmenistán,TKM,Europa y Asia central (excluido altos ingresos),Ingreso mediano alto
América Latina y el Caribe (BIRF y la AIF),TLA,Sin Dato,Agregados
Timor-Leste,TLS,Asia oriental y el Pacífico (excluido altos ingresos),Países de ingreso mediano bajo
Oriente Medio y Norte de África (BIRF y la AIF),TMN,Sin Dato,Agregados
Tonga,TON,Asia oriental y el Pacífico (excluido altos ingresos),Ingreso mediano alto
Asia meridional (BIRF y la AIF),TSA,Sin Dato,Agregados
África al sur del Sahara (BIRF y la AIF),TSS,Sin Dato,Agregados
Trinidad y Tobago,TTO,Sin Dato,Ingreso alto
Túnez,TUN,Oriente Medio y Norte de África (excluido altos ingresos),Países de ingreso mediano bajo
Turquía,TUR,Europa y Asia central (excluido altos ingresos),Ingreso mediano alto
Tuvalu,TUV,Asia oriental y el Pacífico (excluido altos ingresos),Ingreso mediano alto
Tanzanía,TZA,África al sur del Sahara (excluido altos ingresos),Países de ingreso mediano bajo
Uganda,UGA,África al sur del Sahara (excluido altos ingresos),Países de ingreso bajo
Ucrania,UKR,Europa y Asia central (excluido altos ingresos),Países de ingreso mediano bajo
Ingreso mediano alto,UMC,Sin Dato,Agregados
Uruguay,URY,Sin Dato,Ingreso alto
Estados Unidos,USA,Sin Dato,Ingreso alto
Uzbekistán,UZB,Europa y Asia central (excluido altos ingresos),Países de ingreso mediano bajo
San Vicente y las Granadinas,VCT,América Latina y el Caribe (excluido altos ingresos),Ingreso mediano alto
Venezuela,VEN,Sin Dato,No clasificado
Islas Vírgenes Británicas,VGB,Sin Dato,Ingreso alto
Islas Vírgenes (EE.UU.),VIR,Sin Dato,Ingreso alto
Viet Nam,VNM,Asia oriental y el Pacífico (excluido altos ingresos),Países de ingreso mediano bajo
Vanuatu,VUT,Asia oriental y el Pacífico (excluido altos ingresos),Países de ingreso mediano bajo
Mundo,WLD,Sin Dato,Agregados
Samoa,WSM,Asia oriental y el Pacífico (excluido altos ingresos),Países de ingreso mediano bajo
Kosovo,XKX,Europa y Asia central (excluido altos ingresos),Ingreso mediano alto
Yemen. Rep. del,YEM,Oriente Medio y Norte de África (excluido altos ingresos),Países de ingreso bajo
Sudáfrica,ZAF,África al sur del Sahara (excluido altos ingresos),Ingreso mediano alto
Zambia,ZMB,África al sur del Sahara (excluido altos ingresos),Países de ingreso bajo
Zimbabwe,ZWE,África al sur del Sahara (excluido altos ingresos),Países de ingreso mediano bajo
